English-Short-Name,Alpha-2-code,Alpha-3-code,Numeric-code,Independent
Afghanistan,AF,AFG,4,Yes
Åland Islands,AX,ALA,248,No
Albania,AL,ALB,8,Yes
American Samoa,AS,ASM,16,No
Andorra,AD,AND,20,Yes
Angola,AO,AGO,24,Yes
Anguilla,AI,AIA,660,No
Antarctica,AQ,ATA,10,No
Antigua and Barbuda,AG,ATG,28,Yes
Argentina,AR,ARG,32,Yes
Armenia,AM,ARM,51,Yes
Aruba,AW,ABW,533,No
Australia,AU,AUS,36,Yes
Austria,AT,AUT,40,Yes
Azerbaijan,AZ,AZE,31,Yes
Bonaire, Sint Eustatius and Saba,BQ,BES,535,No
Bosnia and Herzegovina,BA,BIH,70,Yes
Canada,CA,CAN,124,Yes
Gabon,GA,GAB,266,Yes
Holy See,VA,VAT,336,Yes
Lao People's Democratic Republic,LA,LAO,418,Yes
Morocco,MA,MAR,504,Yes
Namibia,NA,NAM,516,Yes
Palestine, State of,PS,PSE,275,No
Panama,PA,PAN,591,Yes
Qatar,QA,QAT,634,Yes
Saint Helena, Ascension and Tristan da Cunha,SH,SHN,654,No
Saudi Arabia,SA,SAU,682,Yes
South Africa,ZA,ZAF,710,Yes
Taiwan, Province of China[a],TW,TWN,158,No
Ukraine,UA,UKR,804,Yes
United Arab Emirates,AE,ARE,784,Yes
